year,month,age,portfolio_end,exp_return_annual,variance_annual,inflation_annual,return_step_factor,inflation_step_factor,return_step_pct,monthly_income,monthly_taxed_income,monthly_requested_raw_expenses,monthly_requested_fixed_expenses,monthly_requested_discretionary_expenses,monthly_raw_expenses,monthly_discretionary_expenses,monthly_withdrawl_cap,monthly_fixed_withdrawl_need,monthly_net_expenses,monthly_gross_up,event,assumption_reason
2025,12,50.92,2004690.06,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4600.0,3600.0,1000.0,4375.0,775.0,5833.33,4800.0,4375.0,5833.33,,undefined
2026,1,51.0,2009391.11,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4609.48,3607.42,1002.06,4385.26,777.84,5847.01,4809.89,4385.26,5847.01,,undefined
2026,2,51.08,2014103.19,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4618.97,3614.85,1004.12,4395.54,780.7,5860.72,4819.79,4395.54,5860.72,,undefined
2026,3,51.17,2018826.31,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4628.48,3622.29,1006.19,4405.85,783.56,5874.47,4829.72,4405.85,5874.47,,undefined
2026,4,51.25,2023560.52,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4638.02,3629.75,1008.26,4416.18,786.43,5888.24,4839.67,4416.18,5888.24,,undefined
2026,5,51.33,2028305.82,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4647.57,3637.23,1010.34,4426.54,789.31,5902.05,4849.64,4426.54,5902.05,,undefined
2026,6,51.42,2033062.26,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4657.15,3644.72,1012.42,4436.92,792.2,5915.89,4859.63,4436.92,5915.89,,undefined
2026,7,51.5,2037829.84,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4666.74,3652.23,1014.51,4447.32,795.09,5929.76,4869.64,4447.32,5929.76,,undefined
2026,8,51.58,2042608.61,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4676.35,3659.75,1016.6,4457.75,798.0,5943.67,4879.67,4457.75,5943.67,,undefined
2026,9,51.67,2047398.58,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4685.98,3667.29,1018.69,4468.21,800.92,5957.61,4889.72,4468.21,5957.61,,undefined
2026,10,51.75,2052199.79,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4695.64,3674.85,1020.79,4478.68,803.84,5971.58,4899.79,4478.68,5971.58,,undefined
2026,11,51.83,2057012.26,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4705.31,3682.41,1022.89,4489.19,806.77,5985.58,4909.89,4489.19,5985.58,,undefined
2026,12,51.92,2061836.01,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4715.0,3690.0,1025.0,4499.71,809.71,5999.62,4920.0,4499.71,5999.62,,undefined
2027,1,52.0,2066671.07,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4724.71,3697.6,1027.11,4510.27,812.67,6013.69,4930.13,4510.27,6013.69,,undefined
2027,2,52.08,2071517.47,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4734.44,3705.22,1029.23,4520.84,815.63,6027.79,4940.29,4520.84,6027.79,,undefined
2027,3,52.17,2076375.23,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4744.2,3712.85,1031.35,4531.44,818.6,6041.93,4950.47,4531.44,6041.93,,undefined
2027,4,52.25,2081244.39,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4753.97,3720.5,1033.47,4542.07,821.57,6056.09,4960.66,4542.07,6056.09,,undefined
2027,5,52.33,2086124.97,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4763.76,3728.16,1035.6,4552.72,824.56,6070.3,4970.88,4552.72,6070.3,,undefined
2027,6,52.42,2091016.99,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4773.57,3735.84,1037.73,4563.4,827.56,6084.53,4981.12,4563.4,6084.53,,undefined
2027,7,52.5,2095920.48,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4783.41,3743.54,1039.87,4574.1,830.56,6098.8,4991.38,4574.1,6098.8,,undefined
2027,8,52.58,2100835.47,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4793.26,3751.25,1042.01,4584.83,833.58,6113.1,5001.66,4584.83,6113.1,,undefined
2027,9,52.67,2105761.99,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4803.13,3758.97,1044.16,4595.58,836.6,6127.44,5011.96,4595.58,6127.44,,undefined
2027,10,52.75,2110700.06,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4813.03,3766.72,1046.31,4606.35,839.64,6141.81,5022.29,4606.35,6141.81,,undefined
2027,11,52.83,2115649.71,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4822.94,3774.48,1048.47,4617.16,842.68,6156.21,5032.63,4617.16,6156.21,,undefined
2027,12,52.92,2120610.97,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4832.87,3782.25,1050.62,4627.98,845.73,6170.64,5043.0,4627.98,6170.64,,undefined
2028,1,53.0,2125583.86,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4842.83,3790.04,1052.79,4638.84,848.8,6185.12,5053.39,4638.84,6185.12,,undefined
2028,2,53.08,2130568.41,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4852.81,3797.85,1054.96,4649.71,851.87,6199.62,5063.8,4649.71,6199.62,,undefined
2028,3,53.17,2135564.65,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4862.8,3805.67,1057.13,4660.62,854.95,6214.16,5074.23,4660.62,6214.16,,undefined
2028,4,53.25,2140572.61,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4872.82,3813.51,1059.31,4671.55,858.04,6228.73,5084.68,4671.55,6228.73,,undefined
